SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
87,0,23,-4.349049,-1.963752,-3.678545,-5.909246,-4.307448,-3.153795,-1.431407,-5.304289,-0.6251838,-2.738461,-5.311046,-3.482828,-5.106543,-1.680633,-2.768612,-5.888285,-2.935129,-2.881392,-5.678402,-1.489853,-3.658998,-5.563259,-4.773332,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
88,0,6,-4.445959,-6.046133,-4.672585,-3.432376,-3.360488,-4.963471,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
89,0,9,-2.791026,-5.592477,-3.793127,-4.710824,-5.12487,-6.678416,-3.728399,-4.351453,-3.553424,-0.9651771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
90,0,6,-5.688997,-5.328929,-4.723318,-2.875441,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
91,0,4,-5.886802,-0.3216881,-5.295651,-1.332344,-0.4515671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
92,0,9,-5.637844,-3.544836,-6.249873,-6.3942,-5.312318,-5.741721,-1.978777,-2.846885,-3.816025,-2.724486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
93,0,4,-5.688997,-4.478161,-3.260532,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
94,0,7,-4.512905,-2.121626,-3.622889,-0.4440448,-2.659281,-5.608098,-4.529931,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
95,0,6,-3.527254,-1.29398,-5.302136,-1.23827,-5.061112,-0.9391351,-0.3424227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
96,0,5,-5.512905,-3.560552,-2.453907,-3.59921,-4.286004,-3.006033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
97,0,6,-3.0935,-2.498586,#NAME?,-1.197862,-2.668368,-4.513331,-2.463277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
