SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
689,3,5.576542666666666,pittcssa
690,4,4.7088515,pittcssa
691,5,3.6804968000000002,pittcssa
692,4,4.7088515,pittcssa
693,3,5.735263333333333,pittcssa
694,3,5.735263333333333,pittcssa
695,6,4.196631333333333,pittcssa
696,5,2.883419726,pittcssa
697,7,3.137556428571429,pittcssa
698,4,4.70709475,pittcssa
699,3,4.201213666666667,pittcssa
700,3,4.750968333333334,pittcssa
701,4,4.325294749999999,pittcssa
702,8,3.3977601250000005,pittcssa
704,11,3.9676347999999995,pittcssa
706,8,3.9246667499999996,pittcssa
707,9,3.593364222222222,pittcssa
708,7,2.909382285714286,pittcssa
709,4,2.9881622500000002,pittcssa
710,4,2.9881622500000002,pittcssa
712,4,3.21283125,pittcssa
713,7,4.278658285714286,pittcssa
714,8,3.524483625,pittcssa
715,4,4.2800044999999995,pittcssa
716,3,5.486204666666667,pittcssa
717,6,4.2565789999999994,pittcssa
718,4,3.779031475,pittcssa
719,4,4.7088515,pittcssa
720,3,4.118851333333333,pittcssa
721,11,3.0229004545454554,pittcssa
722,16,3.1671042937500005,pittcssa
723,7,4.194256857142857,pittcssa
724,14,2.846379357142857,pittcssa
725,9,2.749446333333333,pittcssa
726,11,3.8660738000000006,pittcssa
727,3,3.5642823333333333,pittcssa
728,4,4.053800000000001,pittcssa
729,10,4.175253800000001,pittcssa
730,3,3.375982,pittcssa
731,4,4.5840570000000005,pittcssa
732,3,2.670400433333333,pittcssa
733,5,3.6950222000000004,pittcssa
734,9,3.443328088888889,pittcssa
736,4,4.03277825,pittcssa
737,13,3.3764115692307692,pittcssa
738,4,3.6958539999999998,pittcssa
739,11,3.7109677363636364,pittcssa
740,8,3.8832558749999997,pittcssa
741,5,3.66727524,pittcssa
742,3,2.2707752666666665,pittcssa
743,3,4.668141333333334,pittcssa
744,6,4.2388635,pittcssa
746,8,3.8717132500000004,pittcssa
747,6,3.1615856500000006,pittcssa
748,3,2.9575910000000003,pittcssa
749,8,3.8225435,pittcssa
750,9,4.370693444444444,pittcssa
751,8,5.492664625,pittcssa
752,10,3.3513748,pittcssa
755,5,3.9261241999999994,pittcssa
756,10,2.84986996,pittcssa
757,4,4.0375295,pittcssa
758,11,3.0152880818181815,pittcssa
759,5,3.238966,pittcssa
760,8,3.186992375,pittcssa
761,4,4.720868325,pittcssa
762,31,3.0188826612903226,pittcssa
763,12,3.496800933333333,pittcssa
764,3,3.3644583333333333,pittcssa
765,5,4.0216002,pittcssa
766,13,3.4062271384615386,pittcssa
767,3,2.634344666666667,pittcssa
768,6,3.3020598666666667,pittcssa
769,9,3.0648116666666665,pittcssa
770,10,3.08398476,pittcssa
771,6,3.5735375,pittcssa
772,8,3.767373625,pittcssa
773,7,3.5279575,pittcssa
774,6,3.79071445,pittcssa
775,9,3.2845565333333337,pittcssa
776,5,4.164367,pittcssa
777,15,3.8270704666666666,pittcssa
778,3,4.959980666666667,pittcssa
779,3,3.922328666666667,pittcssa
780,4,5.14630225,pittcssa
781,3,3.4887556666666666,pittcssa
782,10,4.3910279,pittcssa
783,4,4.680189,pittcssa
784,6,3.983007833333333,pittcssa
785,4,3.76026425,pittcssa
786,10,3.3717806599999998,pittcssa
787,3,4.047137333333334,pittcssa
789,5,3.2692822,pittcssa
790,19,3.5493074368421045,pittcssa
791,12,3.805596916666667,pittcssa
792,14,2.8545867357142853,pittcssa
793,3,4.043188333333334,pittcssa
795,3,4.043188333333334,pittcssa
