SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
284,6,4.429249133333333,0.7880858,0.7880858,3.6574872666666667,2.6005055,psucssa
285,6,4.180289833333333,7.083674,7.083674,5.677583500000001,2.287762,psucssa
286,9,4.261012777777778,5.341364,5.341364,5.09103,3.1296727777777784,psucssa
287,4,4.682881500000001,6.159597,6.159597,6.159597,3.14298225,psucssa
288,5,5.1870058,3.781715,3.781715,5.3287665,3.0554992000000003,psucssa
290,11,2.6156989,4.512905,4.512905,3.0007875,2.0701011727272727,psucssa
294,24,3.401546283333333,3.918144,3.949374,3.8956655999999996,2.589949283333333,psucssa
296,5,5.0181705999999995,4.094637,4.094637,5.703376499999999,2.7368200000000003,psucssa
298,24,3.7829469583333335,4.967464,4.967464,5.8537325,3.2951359166666663,psucssa
299,39,2.9996775692307684,6.519889,6.519889,3.7022478,2.809818707692307,psucssa
300,12,3.6526973333333337,6.100998,6.100998,5.741773666666667,2.217253916666667,psucssa
302,7,3.5303852285714283,4.688188,4.688188,5.1945345,2.0462325142857143,psucssa
303,2,4.005027,5.294359,5.294359,5.294359,1.3578475,psucssa
304,5,3.9382548,2.349645,2.349645,3.7001100000000005,2.4582108000000003,psucssa
305,14,2.731654114285714,3.23301,3.23301,2.81930882,1.7247581071428573,psucssa
306,17,3.0132503235294124,6.154898,6.154898,3.8717005,2.5577561470588237,psucssa
307,8,3.4072762500000002,4.591347,4.591347,4.847074,1.5896234999999999,psucssa
308,8,2.5630044499999998,3.847012,3.847012,2.5487159999999998,1.9258254500000003,psucssa
309,3,4.284847333333333,4.968927,4.968927,4.968927,2.628538333333333,psucssa
312,16,3.785115625,3.91402,3.91402,4.321348666666666,2.9748627500000002,psucssa
313,13,3.026726346153846,4.652567,4.652567,5.203777666666667,1.8258545769230767,psucssa
314,14,3.185897892857143,5.993355,5.993355,5.616905333333334,1.9822753214285715,psucssa
315,9,2.9761038888888884,7.008328,7.008328,7.008328,2.1974007777777778,psucssa
316,3,3.9134370000000005,4.025279,4.025279,4.025279,2.5716773333333336,psucssa
318,4,5.1075345,6.24491,6.24491,6.2722615,1.97140375,psucssa
319,5,3.8994329999999997,5.930875,5.930875,3.6815655,2.4268068,psucssa
320,9,3.2013694333333333,2.913393,2.913393,2.913393,2.8776591000000002,psucssa
322,6,3.7592924999999995,4.282973,4.282973,3.62199,1.9482974999999998,psucssa
324,6,4.510896333333332,6.056192,6.056192,4.083905,1.7882930000000001,psucssa
326,3,5.247341,4.728459,4.728459,4.607395,2.1757443333333333,psucssa
327,3,5.115358333333333,5.413785,5.413785,4.950058,1.8153196666666667,psucssa
329,7,3.1695095714285713,6.798115,6.798115,6.798115,2.198350285714286,psucssa
330,27,3.2877249222222225,6.910913,4.695216666666666,3.1421887857142856,2.473083385185185,psucssa
332,10,3.1090603000000003,2.901312,2.901312,2.901312,2.8189290999999996,psucssa
333,13,3.3161080769230766,5.161407,5.161407,4.321458,1.9864286923076924,psucssa
336,8,3.4170460375000005,6.653821,6.653821,3.7904556499999997,2.469432125,psucssa
337,11,3.6960649363636366,5.173761,5.173761,5.173761,3.225723027272727,psucssa
340,4,4.382732750000001,4.405628,4.405628,4.405628,3.28132575,psucssa
341,6,3.6431899499999996,5.445959,5.520594,4.738348666666667,1.2740156166666665,psucssa
342,8,3.9186921249999997,6.427639,6.427639,4.194473333333334,2.345764625,psucssa
343,6,2.6299292666666667,5.020988,5.020988,5.020988,1.793097933333333,psucssa
344,16,3.6915798749999995,6.540022,6.540022,6.540022,3.2828285,psucssa
345,15,3.3220960333333336,3.493844,3.493844,3.2311015000000003,2.8912825000000004,psucssa
348,13,3.8169583076923073,5.478724,5.478724,4.336464666666667,2.8162356923076923,psucssa
350,5,4.29031396,7.136234,7.136234,7.136234,2.86306716,psucssa
351,15,3.6930722666666664,4.281587,4.281587,4.591504857142858,1.5503700000000002,psucssa
352,2,4.5047485,5.804013,5.804013,5.804013,1.602742,psucssa
353,19,3.687770294736842,6.677009,6.677009,3.80204965,3.287554542105263,psucssa
354,8,3.2767451999999997,4.46754,4.46754,3.9080179999999998,1.81123845,psucssa
355,12,3.966355833333333,4.638225,4.638225,4.638225,3.5798370833333326,psucssa
356,7,2.4289322285714285,5.020988,5.020988,5.020988,1.7116482285714285,psucssa
357,12,4.038546983333333,5.804013,5.988319000000001,5.8023675,2.104424483333333,psucssa
358,19,3.7577087157894735,7.413614,5.756043,5.63072275,2.5722934,psucssa
360,3,5.261259,6.522281,6.522281,5.4955155,1.597582,psucssa
361,26,3.3952644846153843,7.265494,7.265494,6.416812,2.901663561538461,psucssa
362,8,3.623326575,5.691576,5.691576,5.604704,2.2221505749999997,psucssa
363,8,3.2767451999999997,4.46754,4.46754,3.9080179999999998,1.81123845,psucssa
